Equipo,Tiros,A_Gol,Goles,Ratio_TiroAGolxTiro,Ratio_GolxTiro,Ratio_GolxTiroAGol
Tigres UANL,14,5,1,0.357142857,0.071428571,0.2
Tigres UANL,19,9,4,0.473684211,0.210526316,0.444444444
Tigres UANL,16,11,3,0.6875,0.1875,0.272727273
Tigres UANL,16,4,0,0.25,0,0
Tigres UANL,11,4,1,0.363636364,0.090909091,0.25
Club Tijuana,7,4,0,0.571428571,0,0
Club Tijuana,10,2,0,0.2,0,0
Club Tijuana,6,2,1,0.333333333,0.166666667,0.5
Club Tijuana,8,2,1,0.25,0.125,0.5
Club Tijuana,14,4,0,0.285714286,0,0
Club Tijuana,15,8,2,0.533333333,0.133333333,0.25
Club Tijuana,8,3,1,0.375,0.125,0.333333333
Club Tijuana,20,9,3,0.45,0.15,0.333333333
Club Tijuana,9,4,2,0.444444444,0.222222222,0.5
Club Tijuana,10,7,3,0.7,0.3,0.428571429
Club Tijuana,6,2,0,0.333333333,0,0
Club Tijuana,6,3,1,0.5,0.166666667,0.333333333
Club Tijuana,9,6,1,0.666666667,0.111111111,0.166666667
Club Tijuana,9,1,0,0.111111111,0,0
Club Tijuana,5,2,0,0.4,0,0
Club Tijuana,9,5,3,0.555555556,0.333333333,0.6
Club Tijuana,9,1,0,0.111111111,0,0
Club Tijuana,22,6,1,0.272727273,0.045454545,0.166666667
Club Tijuana,10,5,4,0.5,0.4,0.8
Club Tijuana,15,7,4,0.466666667,0.266666667,0.571428571
Club Tijuana,12,5,1,0.416666667,0.083333333,0.2
Club Tijuana,13,4,1,0.307692308,0.076923077,0.25
Club Tijuana,13,5,3,0.384615385,0.230769231,0.6
Club Tijuana,19,5,1,0.263157895,0.052631579,0.2
Club Tijuana,12,6,2,0.5,0.166666667,0.333333333
Club Tijuana,6,3,1,0.5,0.166666667,0.333333333
Club Tijuana,9,3,1,0.333333333,0.111111111,0.333333333
Club Tijuana,16,5,0,0.3125,0,0
Club Tijuana,15,5,3,0.333333333,0.2,0.6
Club Tijuana,8,5,2,0.625,0.25,0.4
Club Tijuana,18,4,1,0.222222222,0.055555556,0.25
Club Tijuana,13,1,1,0.076923077,0.076923077,1
Club Tijuana,20,9,3,0.45,0.15,0.333333333
Club Tijuana,9,4,3,0.444444444,0.333333333,0.75
Club Tijuana,13,3,2,0.230769231,0.153846154,0.666666667
Club Tijuana,15,4,1,0.266666667,0.066666667,0.25
Club Tijuana,16,7,2,0.4375,0.125,0.285714286
Club Tijuana,4,1,1,0.25,0.25,1
Club Tijuana,17,2,0,0.117647059,0,0
Club Tijuana,12,3,0,0.25,0,0
Club Tijuana,22,6,1,0.272727273,0.045454545,0.166666667
Club Tijuana,4,3,2,0.75,0.5,0.666666667
Club Tijuana,6,1,0,0.166666667,0,0
Club Tijuana,7,4,1,0.571428571,0.142857143,0.25
Club Tijuana,7,4,0,0.571428571,0,0
Club Tijuana,9,4,1,0.444444444,0.111111111,0.25
Club Tijuana,10,3,1,0.3,0.1,0.333333333
Club Tijuana,13,3,1,0.230769231,0.076923077,0.333333333
Club Tijuana,4,4,3,1,0.75,0.75
Club Tijuana,10,3,1,0.3,0.1,0.333333333
Club Tijuana,5,3,0,0.6,0,0
Club Tijuana,9,2,0,0.222222222,0,0
Club Tijuana,15,5,0,0.333333333,0,0
Club Tijuana,12,7,3,0.583333333,0.25,0.428571429
Club Tijuana,6,2,2,0.333333333,0.333333333,1
Club Tijuana,4,4,4,1,1,1
Club Tijuana,17,9,3,0.529411765,0.176470588,0.333333333
Toluca,22,6,3,0.272727273,0.136363636,0.5
Toluca,15,10,2,0.666666667,0.133333333,0.2
Toluca,16,4,0,0.25,0,0
Toluca,22,6,0,0.272727273,0,0
Toluca,7,0,0,0,0,#¡DIV/0!
Toluca,9,3,1,0.333333333,0.111111111,0.333333333
Toluca,5,0,0,0,0,#¡DIV/0!
Toluca,7,4,0,0.571428571,0,0
Toluca,4,1,0,0.25,0,0
Toluca,6,0,0,0,0,#¡DIV/0!
